0x000020 space
0x000021 exclam
0x000022 quotedbl
0x000023 numbersign
0x000024 dollar
0x000025 percent
0x000026 ampersand
0x000027 apostrophe
0x000027 quoteright
0x000028 parenleft
0x000029 parenright
0x00002a asterisk
0x00002b plus
0x00002c comma
0x00002d minus
0x00002e period
0x00002f slash
0x000030 0
0x000031 1
0x000032 2
0x000033 3
0x000034 4
0x000035 5
0x000036 6
0x000037 7
0x000038 8
0x000039 9
0x00003a colon
0x00003b semicolon
0x00003c less
0x00003d equal
0x00003e greater
0x00003f question
0x000040 at
0x000041 A
0x000042 B
0x000043 C
0x000044 D
0x000045 E
0x000046 F
0x000047 G
0x000048 H
0x000049 I
0x00004a J
0x00004b K
0x00004c L
0x00004d M
0x00004e N
0x00004f O
0x000050 P
0x000051 Q
0x000052 R
0x000053 S
0x000054 T
0x000055 U
0x000056 V
0x000057 W
0x000058 X
0x000059 Y
0x00005a Z
0x00005b bracketleft
0x00005c backslash
0x00005d bracketright
0x00005e asciicircum
0x00005f underscore
0x000060 grave
0x000060 quoteleft
0x000061 a
0x000062 b
0x000063 c
0x000064 d
0x000065 e
0x000066 f
0x000067 g
0x000068 h
0x000069 i
0x00006a j
0x00006b k
0x00006c l
0x00006d m
0x00006e n
0x00006f o
0x000070 p
0x000071 q
0x000072 r
0x000073 s
0x000074 t
0x000075 u
0x000076 v
0x000077 w
0x000078 x
0x000079 y
0x00007a z
0x00007b braceleft
0x00007c bar
0x00007d braceright
0x00007e asciitilde
0x0000a0 nobreakspace
0x0000a1 exclamdown
0x0000a2 cent
0x0000a3 sterling
0x0000a4 currency
0x0000a5 yen
0x0000a6 brokenbar
0x0000a7 section
0x0000a8 diaeresis
0x0000a9 copyright
0x0000aa ordfeminine
0x0000ab guillemotleft
0x0000ac notsign
0x0000ad hyphen
0x0000ae registered
0x0000af macron
0x0000b0 degree
0x0000b1 plusminus
0x0000b2 twosuperior
0x0000b3 threesuperior
0x0000b4 acute
0x0000b5 mu
0x0000b6 paragraph
0x0000b7 periodcentered
0x0000b8 cedilla
0x0000b9 onesuperior
0x0000ba masculine
0x0000bb guillemotright
